137,actor,16975,1146880000,1144836497,308419188,3202235788,0,0
137,actor,16990,1147338965,1144856701,964414612,3206807359,983067875,3149655445
137,actor,17005,1147798132,1144762211,3145419278,3208987722,974173051,989727363
137,actor,17020,1148395791,1144566123,3191626199,1044477544,3218647771,1061341034
137,actor,17035,1148718291,1144603550,984817958,3200792955,985246699,3109163008
137,actor,17050,1149178218,1144612398,1061437829,3194318530,3165772894,3217886984
137,actor,17065,1150026506,1144740848,999465784,1081932145,3095255788,3113744861
137,actor,17080,1150128378,1144794890,3203355805,1076868056,1067691109,3160175920
137,actor,17095,1150490407,1144735241,3172737642,1062368536,1068671565,3214471339
137,actor,17110,1150714224,1144571415,925366122,3200572107,3120525762,3120748944
137,actor,17125,1150943263,1144603384,889318664,3204862947,3124481261,984829896
137,actor,17140,1151173220,1144813130,988086541,3201529346,942852812,3147963414
138,actor,16975,1146880000,1144835947,2443485611,3208461415,0,0
138,actor,16990,1147338966,1144855023,963129603,3206802386,982246808,3149816196
138,actor,17005,1147798111,1144759823,993712757,3204641176,974728010,985885934
138,actor,17020,1148395791,1144566123,3191941936,1052714933,3218647771,1060529158
138,actor,17035,1148718298,1144603235,3246290514,3227553090,985218019,1070044618
138,actor,17140,1151173225,1144812695,983397892,3211909624,3089566302,3147070730
138,actor,17065,1150026518,1144764255,1012740664,1082697873,3095990061,3127042586
138,actor,17080,1150127418,1144801909,3195115870,3204586148,1067640738,3204671926
138,actor,17095,1150490407,1144735241,3184557028,1064542747,1068671565,3213942520
138,actor,17110,1150714224,1144571136,923513035,3200572104,3120686891,3109927090
138,actor,17125,1150943263,1144602339,3029061814,3208255714,3124089550,986868782
139,actor,16975,1146880000,1144833730,2443485611,3201289808,0,0
139,actor,16990,1147338967,1144853346,964110204,3206807166,981362913,3149860114
139,actor,17005,1147798127,1144758850,3131809980,3208996534,975154922,982245092
139,actor,17020,1148395791,1144566123,3191850252,1052556060,3218647771,1061351837
139,actor,17140,1151173228,1144809356,983397892,3206317241,3102861380,3146168366
139,actor,17065,1150026555,1144789398,1011613922,1082341726,3097972589,3139431872
139,actor,17080,1150126774,1144800954,3195115870,3190900523,1067568969,3198163325
139,actor,17095,1150490407,1144735241,3180840090,1062556326,1068671565,3214769673
139,actor,17110,1150714224,1144570857,922949193,3200572106,3120747436,946253316
139,actor,17125,1150943263,1144600189,3015728732,3203077385,3123629877,988629639
140,actor,16975,1146880000,1144833334,289661585,3210314061,0,0
140,actor,16990,1147338968,1144851668,963361739,3206802572,979693490,3149796179
140,actor,17005,1147798120,1144756459,984782195,3204633622,975460473,976171122
140,actor,17020,1148389470,1144562962,3198795174,1055089746,3218647771,1061285716
140,actor,17065,1150026589,1144813614,1009972602,1081468778,3103562480,3146469627
140,actor,17080,1150126774,1144800954,3187922936,1005228785,1067568969,3184731947
140,actor,17095,1150490407,1144735241,3177181290,1062835832,1068671565,3214786763
140,actor,17110,1150714224,1144570578,922777631,3200572103,3120731688,966597982
140,actor,17125,1150943263,1144599502,2999253616,3202479741,3123111509,989987890
140,actor,17140,1151173231,1144807837,983397892,3197001460,3108031938,3144801234
141,actor,16975,1146880000,1144830514,289661585,3204721678,0,0
141,actor,16990,1147338969,1144849991,963933173,3206806988,978032592,3149633553
141,actor,17005,1147798127,1144755488,3113808900,3209005168,975651826,966464818
141,actor,17020,1148383892,1144568540,3215609457,1061707411,3218647771,1059905558
141,actor,17065,1150026618,1144835893,1006671385,1076049272,3108552797,3155656705
141,actor,17080,1150126774,1144800954,1045227310,3163205410,1067568969,1025357998
141,actor,17095,1150490407,1144735241,3173488594,1062919448,1068671565,3214859958
141,actor,17110,1150714224,1144570299,922703980,3200572106,3120645883,973662546
141,actor,17125,1150943263,1144598912,2982998808,3202378933,3122543461,990602467
141,actor,17140,1151173234,1144808139,986724743,3214068882,3112216138,3143006249
