15,16975,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,1
15,16990,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
15,17005,000000000000010000000000000000000000000000000000000000000,0,0,0,0,0,0,2
15,17020,000000000000010000000000000000000000000000000000000000000,0,0,0,0,0,0,2
15,17035,000000000000010000000000000000000000000000000000000000000,0,0,0,0,0,0,2
15,17050,000000000000010000000000000000000000000000000000000000000,0,0,0,0,0,0,2
15,17065,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
15,17080,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
15,17095,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
15,17110,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
15,17125,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
15,17140,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
16,16975,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,1
16,16990,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
16,17005,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
16,17020,000000000000010000000000000000000000000000000000000000000,0,0,0,0,0,0,2
16,17035,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
16,17050,000000000000010000000000000000000000000000000000000000000,0,0,0,0,0,0,2
16,17065,000000000000010000000000000000000000000000000000000000000,0,0,0,0,0,0,2
16,17080,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
16,17095,000000000000010000000000000000000000000000000000000000000,0,0,0,0,0,0,2
16,17110,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
16,17125,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
16,17140,000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,2
17,16975,001000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,1
17,16990,000000000000000100000000000000000000000000000000000000000,0,0,1065336952,3174321946,0,0,2
