74,16975,0,0,0,0,0,0
74,16989,0,0,bf5c3462,bf028f5d,0,0
74,17017,0,0,3f7defe3,3e01bc89,0,0
74,17031,0,0,bf5ba358,3f0382cb,0,0
74,17073,0,0,3f7a99ae,3e51351c,0,0
74,17087,0,0,bed61d29,bf688a37,0,0
74,17101,0,0,0,0,0,0
74,17115,0,0,0,0,0,0
74,17143,0,0,bf6a5641,3ece20ce,0,0
74,17213,0,0,3e738056,3f78a822,0,0
74,17227,0,0,0,0,0,0
74,17269,0,0,3f5aa79f,bf0523ae,0,0
74,17283,0,0,0,0,0,0
74,17297,0,0,3f7aa58b,3e505134,0,0
74,17311,0,0,3f377408,bf328d61,0,0
74,17339,0,0,3f7e1b7d,bdf8929d,0,0
74,17353,0,0,0,0,0,0
74,17367,0,0,3f7c9128,be2722d9,0,0
74,17395,0,0,3f7f0638,3db2a2d6,0,0
74,17409,0,0,3d933c8b,bf7f566b,0,0
74,17423,0,0,3f7e682c,3de41f45,0,0
74,17451,0,0,bf463e93,3f21f900,0,0
74,17465,0,0,0,0,0,0
74,17479,0,0,3f7f17ca,bdac401a,0,0
74,17493,0,0,3f7ff03c,bcb3aafd,0,0
74,17507,0,0,3f7868ab,be778456,0,0
74,17535,0,0,bf7f66a0,3d8c0816,0,0
74,17549,0,0,3f7a24a5,3e59c91e,0,0
74,17563,0,0,3f5add83,bf04cb05,0,0
74,17577,0,0,0,0,0,0
74,17591,0,0,3f7f7557,3d85271b,0,0
74,17605,0,0,bf7fd500,3d145b8b,0,0
74,17619,0,0,bf73b152,3e9cd7a8,0,0
74,17647,0,0,3f7e1dcf,bdf7fa7d,0,0
74,17675,0,0,3f5ba922,bf037920,0,0
74,17689,0,0,3f6c9c69,3ec37600,0,0
74,17717,0,0,3f7fffef,bab9afd1,0,0
74,17731,0,0,bf723bc0,bea5a34c,0,0
74,17745,0,0,0,0,0,0
74,19061,0,0,bf7d4ed5,3e141cdd,0,0
74,17773,0,0,0,0,0,0
74,17787,0,0,3f6c4d57,3ec4f32b,0,0
74,17801,0,0,bf7ff26f,3ca6aebd,0,0
74,17815,0,0,3f6a97de,3eccf56d,0,0
74,17829,0,0,0,0,0,0
74,17843,0,0,3f7fcf59,bd1dccea,0,0
74,17857,0,0,3f3f3eb8,bf2a2e2c,0,0
74,17871,0,0,3f56da48,bf0b3115,0,0
74,17885,0,0,bf7c3304,3e2fcbe9,0,0
74,17899,0,0,0,0,0,0
74,17913,0,0,3f0b69d3,3f56b57b,0,0
74,17941,0,0,0,0,0,0
74,17955,0,0,3f58d6c3,bf0813a8,0,0
74,17969,0,0,beeeb975,3f627852,0,0
74,17983,0,0,3f533c82,bf109ef3,0,0
74,17997,0,0,0,0,0,0
74,18011,0,0,3f706239,3eb0165c,0,0
74,18025,0,0,3f7d899c,3e0db02a,0,0
74,18039,0,0,3f7ffe02,3bff88b5,0,0
74,18053,0,0,bf534b48,bf10895d,0,0
74,18067,0,0,0,0,0,0
74,18081,0,0,bf5501cf,3f0dfffe,0,0
74,18095,0,0,3f7ee0bd,bdbf8b46,0,0
74,18109,0,0,3f55c1c1,3f0cde67,0,0
74,18123,0,0,3f7bfb35,be34ba9e,0,0
74,18137,0,0,0,0,0,0
74,18165,0,0,3f7988e2,be64ae47,0,0
74,18179,0,0,bf567d69,bf0bc008,0,0
74,18193,0,0,bf7e0d54,3dfc2a1d,0,0
74,18207,0,0,3f518669,bf1316db,0,0
74,18221,0,0,bf7fe23b,bcf6e2bf,0,0
74,18235,0,0,3f1b0628,bf4bb964,0,0
74,18249,0,0,3f489cdf,bf1f07a8,0,0
74,18277,0,0,3ef08bed,bf61fccb,0,0
74,18291,0,0,bf07b290,3f591392,0,0
74,18305,0,0,3f5d8b74,3f0045da,0,0
74,18319,0,0,3f50927e,bf146ff1,0,0
74,18333,0,0,3f4c07d8,3f1a9ed9,0,0
74,18347,0,0,3f5d343c,3f00dc09,0,0
74,18361,0,0,0,0,0,0
74,18375,0,0,0,0,0,0
74,18389,0,0,3f576fc4,3f0a4946,0,0
74,18403,0,0,0,0,0,0
74,18417,0,0,3f5e0b12,befed0e6,0,0
74,18431,0,0,3f74bbda,3e9637d4,0,0
74,18445,0,0,3f71ae42,bea8d625,0,0
74,18459,0,0,bf5a9f13,3f0531b6,0,0
74,18473,0,0,3f613fbe,bef34d28,0,0
74,18501,0,0,3f3a3f3b,3f2fa2da,0,0
74,18515,0,0,3f69cf3a,bed0829f,0,0
74,18529,0,0,3f7f2bcc,3da4acf5,0,0
74,18543,0,0,3f7fa0e8,bd5c933e,0,0
74,18557,0,0,3f7f9384,3d6b94aa,0,0
74,18571,0,0,0,0,0,0
74,18585,0,0,0,0,0,0
74,18599,0,0,0,0,0,0
74,18613,0,0,bf65d91a,3ee170cf,0,0
74,18627,0,0,0,0,0,0
74,18641,0,0,bf6ba2fb,bec81d1a,0,0
74,18655,0,0,0,0,0,0
74,18697,0,0,bf7ab4b1,be4f2cc1,0,0
74,18711,0,0,3f6ef62f,3eb7aa92,0,0
74,18725,0,0,3e60946b,3f79c473,0,0
74,18739,0,0,0,0,0,0
74,18753,0,0,3f793527,3e6a5165,0,0
74,18767,0,0,bf7fbc72,bd39ecef,0,0
74,18781,0,0,bf77c23e,3e80ddab,0,0
74,18795,0,0,bf673020,bedbe458,0,0
74,18809,0,0,3f79cea7,be5fde8a,0,0
74,18823,0,0,0,0,0,0
74,18837,0,0,3f70f5f9,3eace738,0,0
74,18851,0,0,0,0,0,0
74,18865,0,0,bf7fd9ff,bd0b7769,0,0
74,18879,0,0,3f740981,be9aaf6c,0,0
74,18893,0,0,0,0,0,0
74,18907,0,0,0,0,0,0
74,18921,0,0,3f59a26b,3f06ccff,0,0
74,18949,0,0,0,0,0,0
74,18963,0,0,3f7e9dcb,3dd4a3fc,0,0
