76,16975,0,0,0,0,0,0,1
76,16989,0,0,0,0,0,0,2
76,17003,0,0,1065332485,1028361949,0,0,2
76,17017,0,0,1060603875,3207756023,0,0,2
76,17031,0,0,1065300284,1034063385,0,0,2
76,17045,0,0,1058429963,1062154453,0,0,2
76,17059,0,0,0,0,0,0,2
76,17073,0,0,1060797726,3207553313,0,0,2
76,17087,0,0,1063548723,1055325761,0,0,2
76,17115,0,0,1065124453,1042843198,0,0,2
76,17129,0,0,3212806996,1031031966,0,0,2
76,17143,0,0,3212014094,1050566339,0,0,2
76,17157,0,0,1065219512,3187737955,0,0,2
76,17185,0,0,1065065826,1044166881,0,0,2
76,17199,0,0,1064782672,1048863512,0,0,2
76,17213,0,0,1065338571,1026235080,0,0,2
76,17227,0,0,3212830754,3168604870,0,0,2
76,17241,0,0,3211533452,1053154486,0,0,2
76,17255,0,0,1064785535,1048842093,0,0,2
76,17269,0,0,1065027144,3192448953,0,0,2
76,17283,0,0,1065343081,3171834447,0,0,2
76,17297,0,0,1065320210,1031825102,0,0,2
76,17311,0,0,1065348736,3166523146,0,0,2
76,17325,0,0,1065012542,1045253930,0,0,2
76,17339,0,0,3212816982,3175569621,0,0,2
76,17353,0,0,1063621880,3202516439,0,0,2
76,17367,0,0,1065345217,3170693536,0,0,2
76,17381,0,0,1064451690,3198522295,0,0,2
76,17395,0,0,1064396673,1051355432,0,0,2
76,17409,0,0,1065181665,1041371145,0,0,2
76,17423,0,0,1063838597,3201603463,0,0,2
76,17437,0,0,1065263152,3184782383,0,0,2
76,17451,0,0,1065291089,3182433725,0,0,2
76,17465,0,0,1065270707,1036704991,0,0,2
76,17479,0,0,1065351836,3159499916,0,0,2
76,17493,0,0,1064970308,3193538171,0,0,2
76,17507,0,0,1064405683,1051304244,0,0,2
76,17521,0,0,3212724189,3186422986,0,0,2
77,16975,0,0,0,0,0,0,1
77,16989,0,0,0,0,0,0,2
77,17003,0,0,1065332485,1028361949,0,0,2
77,17017,0,0,1061310012,3206983013,0,0,2
77,17031,0,0,1065300284,1034063385,0,0,2
77,17045,0,0,1058671778,1061975636,0,0,2
77,17059,0,0,0,0,0,0,2
77,17073,0,0,1060895723,3207448214,0,0,2
77,17087,0,0,1063548723,1055325761,0,0,2
77,17115,0,0,1065036547,1044775916,0,0,2
77,17129,0,0,3212806996,1031031966,0,0,2
77,17143,0,0,3211940216,1051010061,0,0,2
77,17157,0,0,1065219512,3187737955,0,0,2
77,17185,0,0,1064993173,1045627103,0,0,2
77,17199,0,0,1064782672,1048863512,0,0,2
77,17213,0,0,1065348212,1019744323,0,0,2
77,17227,0,0,3212830754,3168604870,0,0,2
77,17241,0,0,3211412986,1053715141,0,0,2
77,17255,0,0,1064785535,1048842093,0,0,2
77,17269,0,0,1064840041,3195753467,0,0,2
77,17283,0,0,1065343081,3171834447,0,0,2
77,17297,0,0,1065291700,1034893280,0,0,2
77,17311,0,0,1065348736,3166523146,0,0,2
77,17325,0,0,1065004292,1045414188,0,0,2
77,17339,0,0,3212816982,3175569621,0,0,2
77,17353,0,0,1063412791,3203335601,0,0,2
77,17367,0,0,1065345217,3170693536,0,0,2
77,17381,0,0,1064467214,3198431019,0,0,2
77,17395,0,0,1064396673,1051355432,0,0,2
77,17409,0,0,1065213488,1040441914,0,0,2
77,17423,0,0,1063838597,3201603463,0,0,2
77,17437,0,0,1065286183,3182879808,0,0,2
77,17451,0,0,1065291089,3182433725,0,0,2
77,17465,0,0,1065110871,1043164008,0,0,2
77,17479,0,0,1065351836,3159499916,0,0,2
77,17493,0,0,1064913978,3194537834,0,0,2
77,17507,0,0,1064405683,1051304244,0,0,2
77,17521,0,0,3212702577,3187756289,0,0,2
78,16975,0,0,0,0,0,0,1
78,16989,0,0,0,0,0,0,2
78,17003,0,0,1065352721,3153842142,0,0,2
78,17017,0,0,1061310012,3206983013,0,0,2
78,17031,0,0,3212609233,1042815991,0,0,2
78,17045,0,0,1058671778,1061975636,0,0,2
78,17059,0,0,0,0,0,0,2
78,17073,0,0,1060895723,3207448214,0,0,2
78,17087,0,0,1063492406,1055546533,0,0,2
78,17115,0,0,1065036547,1044775916,0,0,2
78,17129,0,0,3212806996,1031031966,0,0,2
78,17143,0,0,3211940216,1051010061,0,0,2
78,17157,0,0,1065239073,3186523506,0,0,2
78,17185,0,0,1064993173,1045627103,0,0,2
78,17199,0,0,1064724364,1049288014,0,0,2
78,17213,0,0,1065348212,1019744323,0,0,2
