78,16975,0,0,0,0
78,16989,0,0,1057554912,1076285283
78,17017,1065252172,1038118578,3188100162,3188100162
78,17031,3209911754,1058041419,3206116640,1081044259
78,17073,1063398298,1055906737,3199885394,1080056805
78,17087,3201988741,3211232843,1066443356,1073790637
78,17101,1063141421,3204323185,1058108532,1058108532
78,17115,0,0,3172440384,3172440384
78,17143,3209978712,1057942677,3204390032,1080619885
78,17213,0,0,3215610993,3215610993
78,17227,0,0,3173304960,3173304960
78,17269,1064042509,3200672899,1053538785,1053538785
78,17283,0,0,1030179520,1078293168
78,17297,1065322361,1031294102,3178787733,3178787733
78,17311,1060598792,3207761249,1061525671,1061525671
78,17339,1065079641,3191352113,1043934500,1043934500
78,17353,0,0,3210314455,3210314455
78,17367,1065284458,1035549107,3183049365,3183049365
78,17395,1064946492,1046485898,3189378215,3189378215
78,17409,1033059467,3212793451,1069537801,1069537801
78,17423,1065342840,3171944670,3174252742,3174252742
78,17451,3206833392,1061436848,3210714164,1082162036
78,17465,0,0,1064572204,1074530960
78,17479,1065336829,3174366708,1026886923,1026886923
78,17493,1065349344,1018167337,3142402348,3142402348
78,17507,1064810140,3196139256,1048748179,1048748179
78,17535,3212797600,1032587286,3180078112,1078817020
78,17549,1065352352,1009140187,3156624022,3156624022
78,17563,0,0,1057639348,1057639348
78,17577,0,0,3192801856,1079374975
78,17591,1065298640,1034227291,3182417435,3182417435
78,17605,3212825856,1024744331,3172230144,1078681963
78,17619,3212030290,1050466216,3198117824,1079835859
78,17647,1064946131,3193975984,1046612344,1046612344
78,17675,1062271157,3205750761,1058174974,1058174974
78,17689,1063112145,1056941553,3204830870,3204830870
78,17717,1065352295,1009497379,3169037831,3169037831
78,17731,3211934656,3198526284,1051241504,1077148247
78,17745,1065296714,3181899880,1033566784,1033566784
78,17773,1064945143,1046509946,3194114040,3194114040
78,17787,1064408481,1051288297,3201909816,3201909816
78,17801,3212261671,1048898174,3196482760,1079631476
78,17815,1063951214,1053615389,3201314329,3201314329
78,17829,0,0,1044657256,1044657256
78,17843,3199596027,3211741601,1067093539,1073189267
78,17857,1061109432,3207212588,1060776088,1060776088
78,17871,1062698261,3205117060,1058045586,1058045586
78,17885,3211978652,1050781785,3198449864,1079877364
78,17899,0,0,1033829600,1078204404
78,17913,3212079368,1050156058,3197792504,1079795194
78,17941,0,0,1011784192,1011784192
78,17955,1063231071,3204005527,1057106025,1057106025
78,17969,3205914785,1062153601,3212984274,1082464226
78,17983,1064103347,3200379538,1053221191,1053221191
78,17997,1065195125,3188473434,1048944036,1048944036
78,18011,1063790517,1054328601,3202268345,3202268345
78,18025,1065349943,1017237786,3181149939,3181149939
78,18039,1065352689,1006754147,3154237884,3154237884
78,18053,3209907016,3205531997,1058641384,1076013665
78,18067,0,0,3211998724,3211998724
78,18081,3210019279,1057882110,3205924436,1080996208
78,18095,1064240743,3199686164,1052475335,1052475335
78,18109,1062259184,1058284009,3206772494,3206772494
78,18123,1065270827,1036695293,3184200731,3184200731
78,18137,1057896238,3210009850,1065784650,1065784650
78,18165,1064950938,3193890036,1046524271,1046524271
78,18179,3209200653,3206489844,1059831768,1075716069
78,18193,0,0,3187461728,1079047758
78,18207,1064132629,3200235478,1056795460,1056795460
78,18221,3212821172,3174112580,1026632576,1078348589
78,18235,1063140830,3204325252,1060482327,1060482327
78,18249,3211898718,3198734278,1051461568,1077120739
78,18277,0,0,1066038668,1066038668
78,18291,3204952720,1062802322,3212938494,1082452781
78,18305,1063845510,1054089486,3203339549,3203339549
78,18319,1064234428,3199719045,1052510558,1052510558
78,18333,1062514916,1057913109,3206124672,3206124672
78,18347,1062180715,1058393673,3206547097,3206547097
78,18361,0,0,1059181012,1075878758
78,18375,0,0,1066946469,1066946469
78,18389,0,0,3205633594,3205633594
78,18403,0,0,0,0
78,18417,1063879814,3201421421,1056161459,1056161459
78,18431,1065191340,1041098645,3188612319,3188612319
78,18445,1064602796,3197594101,1051936333,1051936333
78,18459,0,0,3205239980,1080825094
78,18473,1063482470,3203068718,1054772260,1054772260
78,18501,1059467859,1061336971,3210559475,3210559475
78,18515,1063093559,3204468896,1056525410,1056525410
78,18529,1065238123,1039104529,3186624164,3186624164
78,18543,3212165258,3197069829,1034421600,1078185904
78,18557,1065311328,3180372292,1032896540,1032896540
78,18571,0,0,1068614609,1071668197
78,18585,1062169759,1058408838,3206565806,3206565806
78,18599,0,0,1049185744,1077405217
78,18613,3211122970,1054961871,3202970120,1080442396
78,18627,0,0,1057587044,1057587044
78,18641,3211891308,3198776630,1051506440,1077115130
78,18655,0,0,1058446382,1058446382
78,18697,3212489905,3192859841,1045470576,1077675524
78,18711,1064236591,1052224146,3199982152,3199982152
78,18725,1049416352,1064706144,3215287683,3215287683
78,18739,0,0,0,0
78,18753,1064960593,1046232127,3193829430,3193829430
78,18767,3212819570,3174690031,1027210624,1078339557
